str,en_US,ar_DZ,de_DE,ru_RU
title,Hello,السلام,Hallo,Привет!
msg,Hello {} in the {} world ,السلام عليكم يا {} في عالم {},Hallo {} in der {} welt ,Привет! {} добро пожаловать {} мир! 
msg_named,{} are written in the {lang} language,{} مكتوبة باللغة {lang},{} ist in {lang} geschrieben,{} написан на языке {lang}
clickMe,Click me,إضغط هنا,Click mich,Нажми на меня
profile.reset_password.label,Reset Password,اعادة تعين كلمة السر,Password zurГјcksetzten,Сбросить пароль
profile.reset_password.username,Username,المستخدم,Name,Логин
profile.reset_password.password,password,كلمة السر,Password,Пароль
clicked.zero,You clicked {} times!,{} نقرة!,Du hast {} mal geklickt,Ты кликнул {} раз!
clicked.one,You clicked {} time!,{} نقرة!,Du hast {} mal geklickt,Ты кликнул {} раз!
clicked.two,You clicked {} times!,{} نقرات!,Du hast {} mal geklickt,Ты кликнул {} раза!
clicked.few,You clicked {} times!,{} نقرات!,Du hast {} mal geklickt,Ты кликнул {} раз!
clicked.many,You clicked {} times!,{} نقرة!,Du hast {} mal geklickt,Ты кликнул {} раз!
clicked.other,You clicked {} times!,{} نقرة!,Du hast {} mal geklickt,Ты кликнул {} раз!
amount.zero,Your amount : {} ,المبلغ : {},Deine Klicks: {},Твой счет : {} 
amount.one,Your amount : {} , المبلغ : {},Deine Klicks: {},Твой счет : {} 
amount.two,Your amount : {} , المبلغ : {},Deine Klicks: {},Твой счет : {} 
amount.few,Your amount : {} , المبلغ : {},Deine Klicks: {},Твой счет : {} 
amount.many,Your amount : {} , المبلغ : {},Deine Klicks: {},Твой счет : {} 
amount.other,Your amount : {} , المبلغ : {},Deine Klicks: {},Твой счет : {} 
gender.male,Hi man ;) , مرحبا يا رجل,Hi Mann ;) ,Привет мужык ;) 
gender.female,Hello girl :), مرحبا بك يا فتاة,Hallo Frau :),Привет девчуля :)
gender.with_arg.male,Hi man ;) {},{} مرحبا يا رجل,Hi Mann ;) {},Привет мужык ;) {}
gender.with_arg.female,Hello girl :) {},{} مرحبا بك يا فتاة,Hallo Frau :) {},Привет девчуля :) {}
reset_locale,Reset Language,إعادة ضبط اللغة,Gespeicherte Sprache zurГјcksettzen,Сбросить язык
